Entity,Code,Year,Proportion of elected seats held by women in deliberative bodies of local government (%),World region according to OWID
Afghanistan,AFG,2020,16.53,Asia
Algeria,DZA,2018,17.59,Africa
Andorra,AND,2016,35.8,Europe
Andorra,AND,2020,41.25,Europe
Andorra,AND,2024,45,Europe
Antigua and Barbuda,ATG,2020,66.67,North America
Antigua and Barbuda,ATG,2022,66.67,North America
Antigua and Barbuda,ATG,2024,44.44,North America
Argentina,ARG,2020,43.79,South America
Armenia,ARM,2019,9.04,Asia
Armenia,ARM,2020,8.98,Asia
Armenia,ARM,2021,9.07,Asia
Armenia,ARM,2022,24.72,Asia
Armenia,ARM,2023,27.99,Asia
Australia,AUS,2019,33.92,Oceania
Australia and New Zealand (UN SDG),,2020,34.47,
Australia and New Zealand (UN SDG),,2021,34.47,
Australia and New Zealand (UN SDG),,2022,34.47,
Australia and New Zealand (UN SDG),,2023,34.14,
Australia and New Zealand (UN SDG),,2024,34.14,
Austria,AUT,2019,23.09,Europe
Austria,AUT,2021,24.55,Europe
Austria,AUT,2022,25.7,Europe
Austria,AUT,2023,26.31,Europe
Austria,AUT,2024,25.86,Europe
Azerbaijan,AZE,2015,35,Asia
Azerbaijan,AZE,2020,38.8,Asia
Azerbaijan,AZE,2021,38.8,Asia
Azerbaijan,AZE,2022,38.8,Asia
Azerbaijan,AZE,2023,38.8,Asia
Bahrain,BHR,2019,13.33,Asia
Bahrain,BHR,2023,10,Asia
Bangladesh,BGD,2019,25.21,Asia
Bangladesh,BGD,2021,23.34,Asia
Bangladesh,BGD,2022,23.4,Asia
Bangladesh,BGD,2024,23.47,Asia
Belarus,BLR,2019,48.2,Europe
Belgium,BEL,2019,39.03,Europe
Belize,BLZ,2020,30.96,North America
Belize,BLZ,2022,31.52,North America
Belize,BLZ,2023,32.22,North America
Benin,BEN,2016,4.65,Africa
Benin,BEN,2021,3.53,Africa
Bhutan,BTN,2017,11.71,Asia
Bhutan,BTN,2022,12.77,Asia
Bolivia,BOL,2016,50.47,South America
Bolivia,BOL,2022,50.38,South America
Bosnia and Herzegovina,BIH,2017,18.59,Europe
Bosnia and Herzegovina,BIH,2021,19.6,Europe
Botswana,BWA,2015,12.67,Africa
Botswana,BWA,2020,14.9,Africa
Brazil,BRA,2017,13.51,South America
Brazil,BRA,2021,15.71,South America
Bulgaria,BGR,2016,25.96,Europe
Bulgaria,BGR,2020,27.15,Europe
Bulgaria,BGR,2024,27.48,Europe
Burkina Faso,BFA,2018,12.68,Africa
Burundi,BDI,2016,34.54,Africa
Burundi,BDI,2021,33.3,Africa
Cambodia,KHM,2018,16.09,Asia
Cambodia,KHM,2020,16.93,Asia
Cambodia,KHM,2023,20.83,Asia
Cameroon,CMR,2014,25.33,Africa
Cameroon,CMR,2021,24.54,Africa
Canada,CAN,2018,26.6,North America
Cape Verde,CPV,2017,28.36,Africa
Cape Verde,CPV,2021,41.81,Africa
Central and Southern Asia (UN SDG),,2020,41.33,
Central and Southern Asia (UN SDG),,2021,41.26,
Central and Southern Asia (UN SDG),,2022,41.32,
Central and Southern Asia (UN SDG),,2023,41.33,
Central and Southern Asia (UN SDG),,2024,41.15,
Chad,TCD,2013,10.9,Africa
Chile,CHL,2018,23.3,South America
Chile,CHL,2022,33.56,South America
China,CHN,2017,28.09,Asia
China,CHN,2023,32.18,Asia
Colombia,COL,2016,17.61,South America
Colombia,COL,2020,17.9,South America
Colombia,COL,2024,19.75,South America
Comoros,COM,2016,28.04,Africa
Comoros,COM,2021,33.3,Africa
Congo,COG,2023,21.32,Africa
Costa Rica,CRI,2017,45.64,North America
Costa Rica,CRI,2021,45.52,North America
Cote d'Ivoire,CIV,2019,14.95,Africa
Cote d'Ivoire,CIV,2024,32.65,Africa
Croatia,HRV,2014,19.85,Europe
Croatia,HRV,2018,26.39,Europe
Croatia,HRV,2022,30.03,Europe
Cuba,CUB,2019,36.84,North America
Cuba,CUB,2023,42.12,North America
Cyprus,CYP,2018,15.96,Europe
Cyprus,CYP,2019,15.96,Europe
Cyprus,CYP,2021,16.09,Europe
Czechia,CZE,2017,27.06,Europe
Czechia,CZE,2018,27.06,Europe
Czechia,CZE,2019,27.92,Europe
Czechia,CZE,2020,28.01,Europe
Czechia,CZE,2021,28.01,Europe
Czechia,CZE,2022,28.01,Europe
Czechia,CZE,2023,29,Europe
Denmark,DNK,2014,30.5,Europe
Denmark,DNK,2018,33.33,Europe
Denmark,DNK,2022,36.99,Europe
Djibouti,DJI,2018,28.87,Africa
Dominican Republic,DOM,2017,28.34,North America
Dominican Republic,DOM,2021,29.17,North America
East Timor,TLS,2018,3.95,Asia
East Timor,TLS,2024,5.21,Asia
Eastern and South-Eastern Asia (UN SDG),,2020,27.34,
Eastern and South-Eastern Asia (UN SDG),,2021,27.42,
Eastern and South-Eastern Asia (UN SDG),,2022,27.81,
Eastern and South-Eastern Asia (UN SDG),,2023,30.94,
Eastern and South-Eastern Asia (UN SDG),,2024,31,
Ecuador,ECU,2015,25.66,South America
Ecuador,ECU,2020,27.17,South America
Ecuador,ECU,2024,41.13,South America
El Salvador,SLV,2019,32.41,North America
El Salvador,SLV,2022,30.37,North America
Equatorial Guinea,GNQ,2018,26.85,Africa
Equatorial Guinea,GNQ,2023,39.64,Africa
Estonia,EST,2018,28.63,Europe
Estonia,EST,2022,29.47,Europe
Eswatini,SWZ,2019,14.21,Africa
Europe and Northern America (UN SDG),,2020,34.89,
Europe and Northern America (UN SDG),,2021,35.07,
Europe and Northern America (UN SDG),,2022,36.34,
Europe and Northern America (UN SDG),,2023,36.51,
Europe and Northern America (UN SDG),,2024,36.68,
Fiji,FJI,2023,35.8,Oceania
Finland,FIN,2013,36.21,Europe
Finland,FIN,2018,39.05,Europe
Finland,FIN,2022,40.23,Europe
France,FRA,2018,40.4,Europe
France,FRA,2020,40.02,Europe
France,FRA,2022,42.33,Europe
Gambia,GMB,2022,13.77,Africa
Georgia,GEO,2018,13.46,Asia
Georgia,GEO,2022,23.74,Asia
Germany,DEU,2018,27.01,Europe
Germany,DEU,2020,27.77,Europe
